-11|Polaris|3.01275|89.35775|2.09|432.57
-12|Almach|2.088916667|42.438944444|2.23|392.97
-13|Mirach|1.184111111|35.742194444|2.17|197.44
-14|Nu Andromedae|0.851861111|41.203527778|4.47|617.73
-15|Mu Andromedae|0.967666667|38.623638889|3.89|129.74
-16|Delta Andromedae|0.676444444|30.987194444|3.42|105.52
-17|Alpheratz|0.160111111|29.217972222|2.03|97.01
-19|Eta Antliae|9.9975|-36.002027778|5.28|108.65
-20|Alpha Antliae|10.47|-31.186361111|4.41|366.06
-22|Beta Apodis|16.775138889|-77.568583333|4.38|156.96
-23|Gamma Apodis|16.619083333|-78.951638889|4.00|156.28
-24|Alpha Apodis|14.847333333|-79.147861111|3.97|446.80
-26|b Aquarii|23.40375|-19.969861111|4.09|163.41
-27|Psi Aquarii|23.285694444|-8.957583333|4.41|149.82
-28|Lambda Aquarii|22.897666667|-7.452583333|3.80|385.08
-29|Eta Aquarii|22.609722222|-0.005388889|4.00|167.86
-30|Sadaltager|22.501|-0.102194444|3.73|91.88
-31|Sadachbia|22.3815|-1.267138889|3.83|163.73
-32|Sadalmelik|22.116833333|-0.203972222|3.09|523.53
-33|Sadalsuud|21.546916667|-5.466166667|3.03|537.33
-34|Albali|20.816111111|-9.408361111|3.78|207.74
-35|c Aquarii|23.178666667|-21.0425|3.84|270.67
-36|Skat|22.931944444|-15.693722222|3.28|160.59
-37|Tau Aquarii|22.847583333|-13.466555556|4.13|317.59
-38|Sigma Aquarii|22.531833333|-10.55575|4.81|289.66
-39|Ancha|22.301555556|-7.664472222|4.31|187.45
-40|Iota Aquarii|22.128777778|-13.753916667|4.25|175.17
-42|Theta Aquilae|20.208916667|-0.750194444|3.22|286.35
-43|Eta Aquilae|19.894777778|1.067583333|4.03|1382.03
-44|Deneb Okab|19.445|3.163333333|3.44|50.64
-45|Deneb el Okab|19.108388889|13.900555556|2.98|83.03
-46|Epsilon Aquilae|19.011722222|15.102416667|4.16|154.94
-47|Alshain|19.941388889|6.46725|3.86|44.68
-48|Altair|19.865777778|8.932333333|0.82|16.73
-49|Tarazed|19.789888889|10.672472222|2.86|394.87
-50|Al Thalimain Prior|19.125166667|-4.846055556|3.39|123.69
-52|Delta Arae A|17.554|-60.705888889|3.56|197.91
-53|Gamma Arae|17.456472222|-56.402194444|3.27|1113.17
-54|Beta Arae|17.454472222|-55.554472222|2.98|645.86
-55|Theta Arae|18.141305556|-50.091666667|3.63|813.37
-56|Alpha Arae|17.561222222|-49.896833333|2.78|267.34
-57|Zeta Arae|17.009638889|-56.029805556|3.23|486.08
-58|Eta Arae|16.863833333|-59.086027778|3.88|299.23
-60|Bharani|2.856277778|27.356944444|3.58|165.65
-61|Hamal|2.141861111|23.573611111|2.17|65.81
-62|Sheratan|1.932527778|20.923277778|2.70|58.66
-63|Gamma Arietis|1.913888889|19.409611111|3.84|164.06
-65|Menkalinan|6.020638889|44.947638889|1.90|81.11
-66|Capella|5.306972222|46.019333333|0.24|42.80
-67|Haedus|5.068583333|41.108111111|3.84|785.94
-68|Hassaleh|4.975333333|33.202138889|2.83|493.43
-69|Elnath|5.462833333|28.626722222|1.61|133.89
-70|Mahasim|6.021861111|37.212888889|2.61|165.57
-72|Zeta Boötis|14.704444444|13.63025|3.80|175.73
-73|Arcturus|14.278777778|19.063|0.11|36.72
-74|Izar|14.766833333|26.978694444|2.52|202.58
-75|Printseps|15.274166667|33.231027778|3.63|121.79
-76|Nekkar|15.047166667|40.302|3.64|225.25
-77|Seginus|14.550305556|38.209472222|3.09|86.79
-78|Rho Boötis|14.547277778|30.272|3.72|160.12
-79|Muphrid|13.929916667|18.282916667|2.78|37.17
-80|Upsilon Boötis|13.843361111|15.684166667|4.16|263.46
-82|Beta Caeli|4.714805556|-37.092694444|5.13|93.51
-83|Alpha Caeli|4.688638889|-41.812833333|4.50|65.77
-84|Delta Caeli|4.525916667|-44.897083333|5.00|704.45
-86|HD 33564|5.440416667|79.250194444|5.19|68.12
-87|Gamma Camelopardalis|3.881111111|71.399027778|4.63|358.81
-88|CS Camelopardalis|3.516444444|60.018222222|4.28|4289.47
-89|Alpha Camelopardalis|4.939722222|66.377361111|4.28|6936.17
-91|Acubens|8.995833333|11.768638889|4.28|188.32
-92|Asellus Australis|8.766638889|18.069472222|4.09|130.57
-93|Asellus Borealis|8.743722222|21.385388889|4.66|181.20
-94|Iota Cancri|8.801583333|28.674944444|4.19|331.13
-95|Chi Cancri|8.357805556|27.142444444|5.22|59.59
-96|Tarf|8.296166667|9.115|3.66|303.41
